Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
American Samoa,ASM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..,..,..,..,..
American Samoa,ASM,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,..,..,..,..
American Samoa,ASM,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..,..,..,..,..
American Samoa,ASM,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..,..,..,..,..
American Samoa,ASM,Urban population,SP.URB.TOTL,48603,48481,48336,48203,48106,48033
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.30526257,6.58945513,6.75162506,6.71158504,..,..
Andorra,AND,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,2361.2175293,2567.42382813,2821.80126953,2744.19433594,..,..
Andorra,AND,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.35636282,4.59379148,4.58670235,4.66368246,..,..
Andorra,AND,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,1631.38665557,1789.86121297,1916.98456252,1906.85942943,..,..
Andorra,AND,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,30.90909195,30.2857132,32.06521988,30.51295662,..,..
Andorra,AND,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,729.83087223,777.56265809,904.81671351,837.33477229,..,..
Andorra,AND,Urban population,SP.URB.TOTL,68211,67873,67815,67876,67928,67962
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.71314907,2.79150295,2.54010224,2.53335953,..,..
Angola,AGO,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,95.12497711,114.33460236,87.31073761,71.32600403,..,..
Angola,AGO,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.19753671,1.29187,1.06878412,1.04434741,..,..
Angola,AGO,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,41.98650334,52.91251824,36.73723231,29.40330087,..,..
Angola,AGO,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,52.2201004,50.60655975,54.58914185,55.60569763,..,..
Angola,AGO,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,49.6743565,57.86081228,47.66218016,39.66132528,..,..
Angola,AGO,Urban population,SP.URB.TOTL,18502164,19332895,20184724,21061028,21962884,22891614
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.12190151,4.87493944,4.85093021,4.44295979,..,..
Antigua and Barbuda,ATG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,778.45111084,750.01922607,808.69927979,760.26495361,..,..
Antigua and Barbuda,ATG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.86057758,2.73786783,2.91416717,2.59645534,..,..
Antigua and Barbuda,ATG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,434.76428894,421.22646282,485.82119188,444.29702313,..,..
Antigua and Barbuda,ATG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,44.13653946,43.81507111,39.82854462,41.51376343,..,..
Antigua and Barbuda,ATG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,343.58140167,328.62143235,322.09314377,315.61461018,..,..
Antigua and Barbuda,ATG,Urban population,SP.URB.TOTL,23484,23582,23684,23799,23927,24070
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.00189686,10.44225502,9.66646481,9.5100708,..,..
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1153.53405762,1529.67004395,1127.9284668,945.99194336,..,..
Argentina,ARG,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,5.59118652,6.59935617,5.93580294,5.93055725,..,..
Argentina,ARG,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,716.4738335,966.72963849,692.61743135,589.92823278,..,..
Argentina,ARG,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,37.58023834,36.36763763,38.2912941,37.38851166,..,..
Argentina,ARG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,433.50085994,556.30485353,431.89842985,353.69231875,..,..
Argentina,ARG,Urban population,SP.URB.TOTL,39940546,40410674,40877099,41339571,41796990,42248949
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.95196629,10.36270523,10.00543404,11.33526421,..,..
Armenia,ARM,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,357.45776367,405.6506958,422.28268433,523.99908447,..,..
Armenia,ARM,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.6373446,1.37250602,1.23468113,1.40614879,..,..
Armenia,ARM,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,58.81064273,53.72709008,52.11013478,65.00251312,..,..
Armenia,ARM,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,81.67637634,85.46837616,86.4431076,86.59964752,..,..
Armenia,ARM,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,291.95854953,346.70304454,365.03429566,453.78133835,..,..
Armenia,ARM,Urban population,SP.URB.TOTL,1852180,1858250,1863995,1869846,1876112,1882713
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..
Aruba,ABW,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..
Aruba,ABW,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..,..,..,..,..
Aruba,ABW,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,..,..,..,..
Aruba,ABW,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..,..,..,..,..
Aruba,ABW,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..,..,..,..,..
Aruba,ABW,Urban population,SP.URB.TOTL,45293,45614,45949,46294,46654,47022
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.24815178,9.26682281,9.1550045,9.91078568,..,..
Australia,AUS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4993.68945313,5340.36474609,5364.54296875,5427.46240234,..,..
Australia,AUS,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,6.33803082,6.36546087,6.29709959,7.10425138,..,..
Australia,AUS,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3422.32282687,3668.34319773,3689.90078678,3890.51439862,..,..
Australia,AUS,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,31.46705627,31.30913734,31.21686363,28.31803894,..,..
Australia,AUS,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,1571.36716959,1672.0221365,1674.64183247,1536.95206312,..,..
Australia,AUS,Urban population,SP.URB.TOTL,20755798,21133982,21488110,21845994,22158130,22228936
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.3522625,10.38460541,10.31750679,10.43403149,..,..
Austria,AUT,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4709.87597656,4938.91992188,5322.26269531,5242.18310547,..,..
Austria,AUT,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,7.49085999,7.4457655,7.48925352,7.6176486,..,..
Austria,AUT,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3408.04957304,3541.2074424,3863.31498328,3827.19825686,..,..
Austria,AUT,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,27.64033318,28.29989433,27.41217613,26.99225616,..,..
Austria,AUT,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,1301.82500092,1397.70915425,1458.94808199,1414.98351148,..,..
Austria,AUT,Urban population,SP.URB.TOTL,5058968,5110858,5153759,5196085,5238479,5283757
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.03655434,3.73651457,3.55621028,4.03829002,..,..
Azerbaijan,AZE,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,156.99572754,155.0982666,168.39164734,193.10884094,..,..
Azerbaijan,AZE,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,1.16339743,1.00201261,0.92868197,1.28157103,..,..
Azerbaijan,AZE,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,45.24860304,41.59234646,43.97442155,61.28403363,..,..
Azerbaijan,AZE,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,70.67050171,72.51228333,73.22861481,67.96251678,..,..
Azerbaijan,AZE,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,110.94967219,112.46528624,123.31086593,131.24163322,..,..
Azerbaijan,AZE,Urban population,SP.URB.TOTL,5368846,5453517,5534464,5616706,5692217,5760046
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.62038803,6.6088872,5.92999935,5.74977493,..,..
"Bahamas, The",BHS,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1774.02172852,2162.42358398,2002.41296387,2004.61633301,..,..
"Bahamas, The",BHS,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.73470545,3.657933,2.96176958,2.98772573,..,..
"Bahamas, The",BHS,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,863.1836909,1196.87341609,1000.11577909,1041.64834169,..,..
"Bahamas, The",BHS,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,50.79774857,44.17700577,49.52278519,47.52725601,..,..
"Bahamas, The",BHS,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,901.16311814,955.29402976,991.65069049,952.73912936,..,..
"Bahamas, The",BHS,Urban population,SP.URB.TOTL,313041,316565,320173,323788,327359,330887
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.86063528,4.74279165,4.14378214,4.01147509,..,..
Bahrain,BHR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1098.88354492,1126.06689453,994.17901611,940.39569092,..,..
Bahrain,BHR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.98268986,2.74979949,2.43788433,2.3749764,..,..
Bahrain,BHR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,674.32101943,652.87674579,584.89891239,556.75720436,..,..
Bahrain,BHR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,38.63580704,42.02149963,41.16764832,40.79542923,..,..
Bahrain,BHR,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,424.56247619,473.19021472,409.2801251,383.63846889,..,..
Bahrain,BHR,Urban population,SP.URB.TOTL,1270239,1332508,1401306,1467102,1523019,1566857
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.47291207,2.43180156,2.50803041,2.48357606,..,..
Bangladesh,BGD,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,34.56891251,37.40678406,41.90407562,45.85716248,..,..
Bangladesh,BGD,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.40610689,0.40603626,0.42589214,0.46258456,..,..
Bangladesh,BGD,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,5.67698142,6.24578523,7.1157897,8.54123854,..,..
Bangladesh,BGD,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,75.75740814,76.53562164,76.49461365,75.25727081,..,..
Bangladesh,BGD,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,26.18849649,28.62951414,32.05437139,34.51084634,..,..
Bangladesh,BGD,Urban population,SP.URB.TOTL,55423124,57259998,59115518,60987421,62873466,64768559
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.68155098,6.62216997,6.56259155,6.29990387,..,..
Barbados,BRB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,1129.19335938,1151.69372559,1164.54455566,1143.32202148,..,..
Barbados,BRB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.15078282,3.0033567,2.93843102,2.82451534,..,..
Barbados,BRB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,532.48754886,522.32837675,521.43027343,512.59995323,..,..
Barbados,BRB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,51.12524796,52.63700485,54.03665924,54.27687836,..,..
Barbados,BRB,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,577.3028301,606.2171422,629.28092574,620.55947102,..,..
Barbados,BRB,Urban population,SP.URB.TOTL,89149,89186,89280,89430,89634,89897
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.91054153,5.75974846,5.52699471,5.86133957,..,..
Belarus,BLR,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,298.62658691,333.54107666,351.00680542,399.39709473,..,..
Belarus,BLR,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.19298792,3.98054719,3.9000001,4.12527084,..,..
Belarus,BLR,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,211.84821094,230.50936587,247.68008379,281.09976022,..,..
Belarus,BLR,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,28.63863182,30.51343536,29.23060417,29.47942924,..,..
Belarus,BLR,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,85.52256722,101.77484912,102.60140514,117.7399783,..,..
Belarus,BLR,Urban population,SP.URB.TOTL,7354014,7390686,7418413,7445754,7455467,7463845
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,10.77319717,10.78312588,10.76469994,10.65604973,..,..
Belgium,BEL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,4534.22998047,4775.8125,5134.41455078,4960.39355469,..,..
Belgium,BEL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,8.32023335,8.33751106,8.26992512,8.18138885,..,..
Belgium,BEL,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,3501.82486906,3692.65746232,3944.48729309,3808.43816884,..,..
Belgium,BEL,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,22.76911926,22.67999458,23.17552185,23.22304344,..,..
Belgium,BEL,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,1032.4042538,1083.15404614,1189.92740275,1151.95435338,..,..
Belgium,BEL,Urban population,SP.URB.TOTL,11095615,11143219,11198627,11263911,11322476,11369682
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.14959431,5.79241371,5.81922674,5.96689224,..,..
Belize,BLZ,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,296.04522705,282.55374146,285.97033691,293.41259766,..,..
Belize,BLZ,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.23173332,3.97645974,3.99211764,4.16896009,..,..
Belize,BLZ,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,203.71819761,193.97157895,196.18195147,205.00211731,..,..
Belize,BLZ,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,29.52723885,29.74392509,28.90022659,27.14195824,..,..
Belize,BLZ,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,87.41397603,84.04257763,82.64608061,79.63792804,..,..
Belize,BLZ,Urban population,SP.URB.TOTL,167603,171357,175155,179038,183005,187075
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.73950028,2.61910868,2.50416446,2.38842916,..,..
Benin,BEN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,29.78626442,29.76860428,31.07242012,29.12529182,..,..
Benin,BEN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,0.57490981,0.81440628,0.4908835,0.54099613,..,..
Benin,BEN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,6.25092677,9.25648525,6.09102944,6.59708499,..,..
Benin,BEN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,48.45129013,49.42943573,50.35248566,53.01073074,..,..
Benin,BEN,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,14.43182868,14.71445462,15.64573608,15.43953105,..,..
Benin,BEN,Urban population,SP.URB.TOTL,5026050,5226414,5433800,5648149,5869446,6097519
Bermuda,BMU,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..
Bermuda,BMU,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..
Bermuda,BMU,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..,..,..,..,..
Bermuda,BMU,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,..,..,..,..
Bermuda,BMU,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..,..,..,..,..
Bermuda,BMU,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..,..,..,..,..
Bermuda,BMU,Urban population,SP.URB.TOTL,64554,63873,63918,63911,63893,63867
Bhutan,BTN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.57613945,3.3407371,3.2427721,3.60761595,..,..
Bhutan,BTN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,98.90504456,104.85510254,102.73851776,115.98075867,..,..
Bhutan,BTN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.6446631,2.48946476,2.57960916,2.6540451,..,..
Bhutan,BTN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,73.14326558,78.13637742,81.7279877,85.32454068,..,..
Bhutan,BTN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,21.28587723,14.31341648,14.39869881,19.4673481,..,..
Bhutan,BTN,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,21.05280392,15.00834692,14.79301053,22.57837704,..,..
Bhutan,BTN,Urban population,SP.URB.TOTL,290468,299470,308510,317539,326515,335419
Bolivia,BOL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,6.83333063,6.4901948,6.64209032,6.9233799,..,..
Bolivia,BOL,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,210.23809814,217.49468994,235.70088196,245.92347717,..,..
Bolivia,BOL,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,4.4294467,4.44758177,4.835742,4.93192387,..,..
Bolivia,BOL,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,136.27885551,149.04412632,171.60088554,175.18552244,..,..
Bolivia,BOL,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,31.94018936,29.16842079,25.5754528,27.63630486,..,..
Bolivia,BOL,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,67.15044422,63.43977053,60.28156387,67.96416144,..,..
Bolivia,BOL,Urban population,SP.URB.TOTL,7583054,7732023,7881917,8033037,8185478,8339262
Bosnia and Herzegovina,BIH,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.24976635,8.93797779,8.89146042,9.04909897,..,..
Bosnia and Herzegovina,BIH,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,461.9793396,482.17715454,539.91003418,553.82293701,..,..
Bosnia and Herzegovina,BIH,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,6.55783129,6.26775646,6.21219301,6.21883726,..,..
Bosnia and Herzegovina,BIH,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,327.53072247,338.12669345,377.21874829,380.60522762,..,..
Bosnia and Herzegovina,BIH,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,28.91307259,29.48862076,29.70884514,29.73446846,..,..
Bosnia and Herzegovina,BIH,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,133.57241258,142.18688285,160.40102934,164.6762955,..,..
Bosnia and Herzegovina,BIH,Urban population,SP.URB.TOTL,1609084,1604580,1603630,1605143,1608256,1612965
Botswana,BWA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.56052208,6.13453388,5.96867228,6.04836559,..,..
Botswana,BWA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,402.80163574,484.22390747,494.19546509,481.53305054,..,..
Botswana,BWA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.69899654,4.64136362,4.68888426,4.74940634,..,..
Botswana,BWA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,267.95357384,366.36184543,388.23126205,378.11800433,..,..
Botswana,BWA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,27.81209564,14.72867393,15.18728447,15.32737446,..,..
Botswana,BWA,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,112.02757884,71.31976182,75.05486848,73.80637296,..,..
Botswana,BWA,Urban population,SP.URB.TOTL,1467302,1514887,1565359,1616554,1666761,1715465
Brazil,BRA,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.16901207,9.47124863,9.46475124,9.5912714,..,..
Brazil,BRA,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,798.6270752,940.36975098,866.15539551,853.38793945,..,..
Brazil,BRA,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,3.94843602,3.95314622,3.88923883,3.90755868,..,..
Brazil,BRA,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,343.91138183,392.49513308,355.91903424,347.67692994,..,..
Brazil,BRA,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,56.86286545,58.19538116,58.82275772,59.11333466,..,..
Brazil,BRA,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,454.12225314,547.251771,509.49648297,504.46608826,..,..
Brazil,BRA,Urban population,SP.URB.TOTL,177386817,179379296,181335496,183241634,185081854,186852653
British Virgin Islands,VGB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..
British Virgin Islands,VGB,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,..,..,..,..,..,..
British Virgin Islands,VGB,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,..,..,..,..,..,..
British Virgin Islands,VGB,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,..,..,..,..,..,..
British Virgin Islands,VGB,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,..,..,..,..,..,..
British Virgin Islands,VGB,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,..,..,..,..,..,..
British Virgin Islands,VGB,Urban population,SP.URB.TOTL,13784,13996,14219,14451,14669,14883
Brunei Darussalam,BRN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.54828691,2.27036428,2.41289377,2.16031361,..,..
Brunei Darussalam,BRN,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,692.03570557,648.66882324,763.14569092,671.56268311,..,..
Brunei Darussalam,BRN,Domestic general government health expenditure (% of GDP),SH.XPD.GHED.GD.ZS,2.42138696,2.14750528,2.29566693,2.03760552,..,..
Brunei Darussalam,BRN,Domestic general government health expenditure per capita (current US$),SH.XPD.GHED.PC.CD,657.57367399,613.56660338,726.06939329,633.41721174,..,..
Brunei Darussalam,BRN,Domestic private health expenditure (% of current health expenditure),SH.XPD.PVTD.CH.ZS,4.97981548,5.41142321,4.85835171,5.68010855,..,..
Brunei Darussalam,BRN,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,34.46210243,35.10221587,37.07630221,38.14549051,..,..
Brunei Darussalam,BRN,Urban population,SP.URB.TOTL,323197,328175,332997,337720,342330,346841
